Date,AveragePrice,TotalVolume,plu4046,plu4225,plu4770,TotalBags,SmallBags,LargeBags,XLargeBags,type,region
2023-01-09,0.83366741,61975.43,477.07,0.0,0.0,43298.34,,,,organic,Orlando
2023-01-09,1.645126244,2814.31,0.0,239.22,0.0,1780.44,,,,organic,PeoriaSpringfield
2023-01-09,1.702870553,24964.0,1288.02,969.51,0.0,20065.48,,,,organic,Philadelphia
2023-01-09,1.344514219,25703.85,2080.21,1044.03,0.0,10648.84,,,,organic,PhoenixTucson
2023-01-09,1.481316795,8635.01,1271.84,1.36,0.0,6439.12,,,,organic,Pittsburgh
2023-01-09,1.851897333,76916.48,70.9,18609.99,1.33,3376.28,,,,organic,Portland
2023-01-09,1.739549109,4153.79,9.7,5.54,0.0,4138.54,,,,organic,Providence
2023-01-09,1.553642385,26519.48,489.35,1898.51,6.4,23885.13,,,,organic,RaleighGreensboro
2023-01-09,1.484586191,41178.2,7.52,3768.68,1.07,18623.51,,,,organic,RichmondNorfolk
2023-01-09,1.639856356,28218.78,2.83,3293.07,0.0,5284.15,,,,organic,Roanoke
2023-01-09,1.210545802,37643.3,2542.4,1189.17,0.0,30224.8,,,,organic,Sacramento
2023-01-09,1.411042804,38880.48,3652.34,498.29,0.0,6283.07,,,,organic,SanDiego
2023-01-09,1.991077908,68496.27,4026.93,1647.83,0.0,43029.75,,,,organic,SanFrancisco
2023-01-09,2.009679452,104098.83,610.07,18445.25,24.62,5602.01,,,,organic,Seattle
2023-01-09,1.171417131,54523.64,743.14,5033.66,1.17,38625.74,,,,organic,SouthCarolina
2023-01-09,1.914994251,7689.61,55.97,2013.34,0.0,988.71,,,,organic,Spokane
2023-01-09,1.454212503,16356.25,6357.47,883.93,0.0,3215.36,,,,organic,StLouis
2023-01-09,1.666793814,4347.98,181.2,96.48,0.0,3934.82,,,,organic,Syracuse
2023-01-09,1.099814388,29901.14,527.97,0.0,0.0,13253.72,,,,organic,Tampa
2023-01-09,1.573088223,3241.07,12.77,268.22,0.0,1866.17,,,,organic,Toledo
2023-01-09,1.178996289,30735.84,726.54,102.79,0.0,23390.06,,,,organic,WestTexNewMexico
2023-01-09,1.280024291,2815.38,436.18,6.37,0.0,1163.79,,,,organic,Wichita
2023-01-09,1.316453231,494165.73,35454.19,6203.89,0.0,182990.54,,,,organic,California
2023-01-09,1.569126226,132278.44,4134.15,16412.49,0.0,68164.72,,,,organic,GreatLakes
2023-01-09,1.518253237,273117.6,1717.28,24611.76,49.88,167877.72,,,,organic,Midsouth
2023-01-09,1.767043826,230555.61,8937.76,11428.94,1.03,194490.86,,,,organic,Northeast
2023-01-09,1.225000404,80530.06,15753.58,2041.9,0.0,53809.87,,,,organic,Plains
2023-01-09,1.232023572,148164.42,17119.87,2851.52,0.0,101270.08,,,,organic,SouthCentral
2023-01-09,1.004620267,493647.68,3615.36,28964.0,2.3,293429.05,,,,organic,Southeast
2023-01-09,1.566826025,530333.11,27827.25,58622.22,29.7,73549.73,,,,organic,West
2023-01-09,1.379990319,2382792.66,114559.45,151136.72,82.91,1135582.56,,,,organic,TotalUS
2023-01-15,1.064087046,124806.13,22887.57,71058.74,19.21,22717.32,,,,conventional,Albany
